age,gender,year,city,cause,pop,pov,urate,college,VictimID
25,Male,2015,Tempe,Gunshot,2485,20.5,0.059773829,0.518049398,322
26,Female,2015,Oxnard,Gunshot,3172,8.9,0.086549063,0.318350079,323
53,Male,2015,Chavies,Gunshot,2911,18.7,0.088392857,0.153225806,324
26,Male,2015,Boise,Gunshot,5726,29.6,0.117797332,0.228324505,325
40,Male,2015,Wilmore,Gunshot,8064,15.4,0.053853296,0.493210587,326
55,Male,2015,Enfield,Taser,5329,31.5,0.251207729,0.08121547,327
29,Male,2015,Robertsville,Gunshot,7585,12,0.138111888,0.11350548,328
31,Male,2015,Springfield,Gunshot,2816,26.5,0.166007905,0.105626851,329
19,Male,2015,Kaumakani,Struck by vehicle,4189,5.4,0.045591398,0.182048498,330
57,Male,2015,Lake Isabella,Taser,4466,28.2,0.108664773,0.155529618,331
40,Male,2015,Somerset,Gunshot,6530,11.2,0.110402355,0.1640178,332
35,Male,2015,Claymount,Gunshot,4480,15.5,0.137201979,0.271408351,333
35,Male,2015,Beacon,Gunshot,4865,12.6,0.151676206,0.292464115,334
39,Male,2015,Evans,Gunshot,4129,42.7,0.121156494,0.062254902,335
37,Male,2015,Powder Springs,Gunshot,5456,3,0.050305914,0.431638418,336
36,Male,2015,Roma,Gunshot,2377,33.1,0.063807531,0.106725146,337
62,Male,2015,Snohomish,Gunshot,5169,19.1,0.11381323,0.143147897,338
43,Female,2015,Anaheim,Gunshot,5062,11.2,0.119982921,0.105032823,339
32,Male,2015,Vancouver,Death in custody,2150,27.4,0.133171913,0.294513956,340
34,Male,2015,Garland,Gunshot,4775,9.2,0.092148913,0.315638907,341
