name,age,gender,year,city,state,cause,pop,p_income
a848ade3578c8dfbab766e1b22560d7104322a5802047ac8a1a9b0a17e4eb6a5,"(14.927, 51.5]",Male,2015,Bay Shore,norte,Gunshot,"(553.553, 13803.5]",30784
e1821efc8502cbd9533f28a2761ca285f2a163095a787a40d6f72f458a3d5794,"(14.927, 51.5]",Male,2015,Deltona,sur,Gunshot,"(553.553, 13803.5]",19921
a9af7a326a5df8ce5b87a95ed7bf0107f0884604a45b067deaf60eb0ab4f8596,"(14.927, 51.5]",Male,2015,Dallas,sur,Gunshot,"(553.553, 13803.5]",14256
fd07e9b4f89817dd66e53f83bf5484bd6809f4bccf41128cce53edafbad1d17d,"(14.927, 51.5]",Male,2015,Harvey,sur,Gunshot,"(553.553, 13803.5]",18257
146486549ea74c655098252b1d7045652b931b72f050f2004c7e759e37b10386,"(14.927, 51.5]",Male,2015,Roxand Township,norte,Gunshot,"(553.553, 13803.5]",32088
dbc5fe07800234f80f016a7a9d47f9cd6e6ad649ff6893a5a330b7a58821e86a,"(14.927, 51.5]",Male,2015,Santa Clara,oeste,Gunshot,"(553.553, 13803.5]",26846
5d6e31bfc406983e2ff4afdecf8ddad397a006522971100b574f27c35507b64a,"(14.927, 51.5]",Male,2015,Scottsdale,oeste,Gunshot,"(553.553, 13803.5]",36099
e5b56ce7f22667853e4e0623827d9e5565ef4b974000e53abcab2c13042b0e75,"(14.927, 51.5]",Male,2015,Antioch,oeste,Gunshot,"(553.553, 13803.5]",22193
30fb9c062886a1c7b8d071a56524d29a97d2d0dee5b3cf06fbb68580f1919bb5,"(14.927, 51.5]",Male,2015,Valdosta,sur,Gunshot,"(553.553, 13803.5]",19031
23eb101c433d63a9eec02432d3e6112e16ce2c560ddac0beb86ab1fe700cf4b9,"(14.927, 51.5]",Male,2015,Culpeper,sur,Taser,"(553.553, 13803.5]",28490
e28c185539bf7266eeb9b71ee8571b4c25bab13afe1bd81a047b75a189339916,"(14.927, 51.5]",Male,2015,Monon,centro,Gunshot,"(553.553, 13803.5]",21858
96e75e6be7264069f9305de735120863e254dee06e6df9b49ac01f561b2c80a0,"(14.927, 51.5]",Male,2015,Albany,norte,Taser,"(553.553, 13803.5]",14520
96b92b17d783e9963fd73ee46ccdf94627d329d1f1b0f6fa6cc9fa415da7f8f0,"(51.5, 88.0]",Male,2015,Metropolis,centro,Gunshot,"(553.553, 13803.5]",25135
9375e05be0731a6ab23766c6cd4f3aed9e41a303a3c21b08bf8d87b59204bd17,"(14.927, 51.5]",Male,2015,Lucedale,sur,Gunshot,"(553.553, 13803.5]",21837
2124d771207c4443abd7539f88c4f5508bd00dd8bcbbd830d3982c049c957273,"(14.927, 51.5]",Male,2015,Spartanburg,sur,Gunshot,"(553.553, 13803.5]",19755
7d79059da2f6b8d4aa7ef54bac169a6c2158c47cce8e7629ce28b41cfa8db750,"(14.927, 51.5]",Male,2015,Indianapolis,centro,Gunshot,"(553.553, 13803.5]",20623
b251964de1f7b90e5c801ef98e2a02f7d0a9c85470820d0d3ecf6cb7fa58835a,"(14.927, 51.5]",Male,2015,Tewksbury,este,Gunshot,"(553.553, 13803.5]",51071
903c4cb1abe975d4079301a34301ed4243c2b0409d2c5d3da4dab7b2e4052745,"(51.5, 88.0]",Male,2015,San Antonio,sur,Gunshot,"(553.553, 13803.5]",21342
b6c6b86c2e98b9f8dd47d0a82cc1debc9eba36e3ff67536bac4f2778d63b07c7,"(51.5, 88.0]",Male,2015,Birmingham,sur,Gunshot,"(553.553, 13803.5]",13968
7a671a77b10314f9fa85781e58fda2c52202a29f1c3afeabd87dc9cfdd6ddd89,"(14.927, 51.5]",Male,2015,Cottonwood,oeste,Gunshot,"(553.553, 13803.5]",16415
eb7b28e4b20877215c048e355743090bd0dc95b0501fed62dc8fdc22dad0747c,"(14.927, 51.5]",Male,2015,Ontario,oeste,Gunshot,"(553.553, 13803.5]",24026
302ace860fb6455b7c3284364038c927fb111d442584041276fca4bf5f901521,"(51.5, 88.0]",Male,2015,Randallstown,este,Gunshot,"(553.553, 13803.5]",37922
e420ee3e7cf1d8493de765459957c28d01ce075283a39c46842f377d1fb12b87,"(14.927, 51.5]",Male,2015,Hemet,oeste,Gunshot,"(553.553, 13803.5]",17632
e97fee338fa0ac96ce5646287efb51b68c827361b44d086282b971c74061f9a4,"(14.927, 51.5]",Male,2015,Garland,sur,Gunshot,"(553.553, 13803.5]",31009
615e5db576c7b7691a1ef4cb05248c132e849ffa330b81f11c7f9bd4263d4d1c,"(14.927, 51.5]",Male,2015,Hackensack,este,Gunshot,"(553.553, 13803.5]",35008
a80513450c401dc770994d442f44dc8661995e9b132794f3af950752e1d1448e,"(14.927, 51.5]",Male,2015,Cottonwood,oeste,Gunshot,"(553.553, 13803.5]",16415
fb500d95629d33f3cc382fefd013dec72c64042156b846035a82673b4a834df6,"(14.927, 51.5]",Male,2015,Tulsa,centro,Gunshot,"(553.553, 13803.5]",16953
3af435df2a122ab9cec783e23dfc894ca86e984d32526b1f998ad303894b0640,"(14.927, 51.5]",Male,2015,Eagar,oeste,Gunshot,"(553.553, 13803.5]",20644
fbbcada0bcc0eccdaf38107a631f9698e58c41e88d0d374fbf8d86dfe8257792,"(14.927, 51.5]",Male,2015,Shawnee,centro,Gunshot,"(553.553, 13803.5]",31930
0299173bc90d352fcd52c4101b17e6ab27b59db20de1678fb0b1390b26850b1d,"(14.927, 51.5]",Male,2015,El Paso,sur,Gunshot,"(553.553, 13803.5]",27255
8b8f49ed5f541f510fa59712fb8a18ca45aaa0ac9352e2a03fffa37e5765fab4,"(14.927, 51.5]",Male,2015,Phoenix,oeste,Gunshot,"(553.553, 13803.5]",19343
4a5e668af77bded715b56a20d9cc4157d1fd21bf1298498f6cb9b0a076a7b2a8,"(51.5, 88.0]",Male,2015,Pomona,oeste,Gunshot,"(553.553, 13803.5]",22177
c26f2ce1f795165441363afca497b01d394f7be625cd770d53323e881c6420ab,"(14.927, 51.5]",Male,2015,Santa Ana,oeste,Gunshot,"(553.553, 13803.5]",16620
